22101535,22.22
22102918,27.78
22002783,61.11
22102475,22.22
22002306,77.78
22001859,72.22
22103625,11.11
22102248,22.22
22003097,33.33
22301131,88.89
22103729,22.22
22103156,11.11
22002299,83.33
22003396,83.33
22103885,77.78
22103524,66.67
22102692,83.33
22103341,38.89
22103759,44.44
22101852,44.44
22103034,11.11
22101911,27.78
22002756,27.78
22002722,44.44
21901476,22.22
22101038,61.11
22101920,50
22101643,55.56
22101018,33.33
21903151,77.78
22103163,61.11
22102409,44.44
22102825,77.78
22002275,44.44
22003920,72.22
22102144,27.78
22102198,38.89
22002730,77.78
22002885,66.67
22101343,94.44
22103582,11.11
22102932,33.33
22103111,27.78
22003330,83.33
22101310,61.11
22102544,27.78
